Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Terry Peder Rasmussen,12/23/1943,United States,1978-2002,6,6,"Main suspect in the Bear Brook murders, as well as other murders.",,Chameleon Killer
Richard Cottingham,11/25/1946,United States,1977-1980,5,92,"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however, there was no evidence to support this and is considered unsubstantiated.",,"The Torso Killer, The Butcher of Times Square, The New York Ripper, The Times Square Torso Ripper."
Zodiac Killer,,United States,1962-1977,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.,,
John Floyd Thomas Jr.,7/26/1936,United States,1957-2009,5,21,Serial murderer and rapist with one of the longest criminal careers in the US.,"Necrophiliac, Strangler, Rapist",
Carl Panzram,6/28/1891,United States Portuguese Angola,1915-1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.","Rapist, Torturer, Strangler",Jefferson Baldwin
Steve Wright,4/24/1958,United Kingdom,2006,5,13,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous Suffolk prostitute killings.",Strangler,"Ipswich Ripper, Suffolk Ripper, Red Light Ripper, the Suffolkator"
Michel Peiry,5/1/1959,Switzerland France United States Yugoslavia (suspected) Italy (suspected),1981-1987,5,11,Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.,,The Sadist of Romont
Hubert Pilčík,10/14/1891,Czechoslovakia,1948-1951,5,10,"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.",,
Tom Dillon,7/9/1950,United States,1989-1992,5,,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.,,
Joe Metheny,3/2/1955,United States,1976-1996,5,10,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.",,
Karl Denke,2/11/1860,German Empire  Germany,1900-1924,42,42,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried.",Cannibal,"The Cannibal of Ziębice, Vatter Denke"
Francisco das Chagas Rodrigues de Brito,,Brazil,1989-2003,30,42,"Pedophile who sexually abused, murdered and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment.","Pedophile, Rapist",
Luis Gregorio Ramírez Maestre,9/30/1980,Colombia,2010-2013,30,30,Killed motorists in various municipalities before his 2012 capture.,"Torturer, Strangler","The Monster of Tenerife, The Assassin of Tenerife, The Dexter Creole"
David Thabo Simelane,,Swaziland,2000-2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.","Strangler, Rapist",
Zhang Jun,8/5/1966,China,1993-2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.",,
Cedric Maake,,South Africa,1996-1997,27,35,"He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.",,"Wemmer Pan Killer, Hammer Killer"
Mariam Soulakiotis,,Greece,1939-1951,27,27,Convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. She officially murdered 27 and killed an additional 150 children through neglect.,,The Woman Rasputin
Bruce George Peter Lee,7/31/1960,United Kingdom,1973-1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.",,
The Stoneman,,India,1985-1989,25,25,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.",,
Juan Corona,2/7/1934,United States,1971,25,25,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.,Rapist,The Machete Murderer
Fritz Haarmann,10/25/1879,Germany,1918-1924,24,27,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.","Serial killer, Rapist, Strangler, Vampire","The Butcher of Hanover, The Vampire of Hanover"
Béla Kiss,,Hungary,1912-1916,24,24,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.",,
Majid Salek Mohammadi,,Iran,1981-1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced.",,
Yvan Keller,12/13/1960,France Germany (suspected)  Switzerland (suspected),1989-2006,23,150,"Killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.",,The Pillow Killer
Ronald Dominique,1/9/1964,United States,1997-2006,23,23,"Rapist, Strangler, Vampire",,The Bayou Strangler
Juan Fernando Hermosa,2/28/1976,Ecuador,1991-1992,23,23,Youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.[57],,Niño del Terror
Earle Nelson,5/12/1897,United States Canada,1926-1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.",Necrophiliac,"Gorilla Killeror, the Dark Strangler"
Mikhail Novosyolov,,Soviet Union Russia Tajikistan,1977-1995,22,22,"Killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.",Necrophiliac,Necrophile Rebel
Manuel Octavio Bermúdez,10/15/1961,Colombia,1999-2003,21,50,Colombian pedophile and serial killer. He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison.,"Pedophile, Rapist, Strangler",El Monstruo de los Cañaduzales (The Monster of the Cane Fields)
Patrick Kearney,9/24/1939,United States,1965-1977,21,43,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life.",Necrophiliac,"The Trash Bag Murderer, The Freeway Killer"
William Bonin,1/8/1947,United States,1979-1980,21,36,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.",,
Vasile Tcaciuc,,Romania,1917-1935,21,26,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.,,
Yoo Young-chul,4/18/1970,South Korea,2003-2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated.","Cannibal, Rapist",Raincoat Killer
Francisco Guerrero Pérez,,Mexico,1880-1908,21,21,"The first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.",,El Chaquero
Abdullah Shah,,Afghanistan,1990s,20,20,Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed by gunshot in 2004.,,
José Paz Bezerra,,Brazil,1960s-1970s,20,20,"Sexually violated, tortured and then murdered at least 20 women in São Paulo and Pará; sentenced to 30 years imprisonment and later released in 2001.","Rapist, Torturer",The Morumbi Monster
Bulelani Mabhayi,,South Africa,2007-2012,20,20,Killed women and children in the village of Tholeni; sentenced from 25 years to life imprisonment.,,The Monster of Tholeni
Mohan Kumar,,India,2005-2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.",,Cyanide Mohan
Alexander Spesivtsev,3/1/1970,Russia,1991-1996,19,82,"Cannibal admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.",Cannibal,The Novokuznetsk Monster
Larry Eyler,12/21/1952,United States,1982-1984,19,23,Sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.,,The Interstate Killer
Surinder Koli,,India,2005-2006,19,30,"Between 2005 and 2006, a domestic servant of Indian businessman Moninder Singh Pandher, Surender Koli, kidnapped, raped, murdered, and dismembered 19 people, mostly children. Convicted.","Rapist, Pedophile, Necrophiliac, Strangler, Cannibal",
El Psicópata,,Costa Rica,1986-1996,19,19,"Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.",,The Psychopath
Sergei Ryakhovsky,12/29/1962,Soviet Union Russia,1988-1993,19,19,He was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.,"Strangler, Necrophiliac","The Balashikha Ripper, The Hippopotamus"
Yevgeny Chuplinsky,,Russia,1998-2006,19,19,"Killed prostitutes in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.",,The Novosibirsk Maniac
M. Jaishankar,,India,2008-2011,19,19,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Committed suicide by slashing his wrists with a shaving blade in prison on 27 February 2018.",,
Ansis Kaupēns,11/2/1895,Latvia,1920-1926,19,19,Army deserter who committed 30 robberies and killed 19 people; the most infamous Latvian criminal; executed by hanging in 1927.,,
Vadim Ershov,,Russia,1992-1995,19,19,"Committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.",,The Krasnoyarsk Beast
Velaphi Ndlangamandla,,South Africa,1998,19,19,Robbed who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.,,The Saloon Killer
Yavuz Yapıcıoğlu,,Turkey,1994-2002,18,40,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives.,,
Paul John Knowles,4/17/1946,United States,1974,20,35,Killed 18 people in various states in 1974. Claimed 35 murders. Shot dead by FBI agents.,"Rapist, Strangler",The Casanova Killer
Thierry Paulin,11/28/1963,France,1984-1987,18,21,Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.,Strangler,The Monster of Montmartre
Randall Woodfield,12/26/1950,United States,1979-1981,18,44,Suspected of as many as 44 murders. Sentenced to imprisonment for life.,,"The I-5 Killer, The I-5 Bandit"
Umesh Reddy,,India,1996-2002,18,18,Confessed to 18 rapes and murders. Sentenced to death.,,
Christopher Mhlengwa Zikode,,South Africa,1994-1995,18,18,"Murdered 18 people in Donnybrook, KwaZulu Natal from 1994–1995.","Necrophiliac, Rapist",Donnybrook Serial Killer
Asande Baninzi,,South Africa,2001,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.",,
Huang Yong,11/18/1974,China,2001-2003,17,25,"Huang Yong a Chinese serial killer and homosexual rapist. Huang lured victims to his apartment, where he would drug, strangle rape murder and bury seventeen teenage boys. He is suspected of twenty-five murders between 2001 and 2003. In 2003 a victim escaped Huang's apartment, after four days of torture and alerted police. Huang was quoted saying ""I've always wanted to be an assassin since I was a kid, but I never had the chance."" He was convicted of seventeen murders and sentenced to death in 2003. Huang Yong was executed by firing squad on December 26th 2003.","Rapist, Strangler, Torturer",
Pedro Pablo Nakada Ludeña,2/28/1973,Peru,2005-2006,17,25,Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.,,"El Apóstol de la Muerte (""The Apostle of Death"")"
Darbara Singh,,India,2004,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 while serving a life sentence.,Pedophile,
Sergei Dovzhenko,6/30/1972,Ukraine,1992-2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment.",,Murchik
Donato Bilancia,7/10/1951,Italy,1997-1998,17,17,"Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Sentenced to imprisonment for life.",,"Prostitutes Killer, Liguria Monster"
Irina Gaidamachuk,,Russia,2002-2010,17,17,Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.,,Satan in a skirt
Randy Steven Kraft,3/19/1945,United States,1971-1983,16,66,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death.","Rapist, Torturer, Strangler","The Freeway Killer, The Scorecard Killer"
Mohammed Bijeh,2/7/1982,Iran,2004,16,20,"Raped and killed at least 16 boys and teenagers with an accomplice named Ali Baghi (Ali Gholampour). Was convicted and executed after being lashed in front of a crowd in 2005. The pair would stun their victims with blows from a stone to the head, they raped and buried the bodies in a shallow grave. They allegedly placed dead animals near the graves to cover up the smell of the rotting corpses.","Rapist, Necrophiliac, Vampire","Tehran Desert Vampire, One of the Hyenas"
Michel Fourniret,4/4/1942,France Belgium,1987-2001,16,19,He was caught after a failed kidnapping in 2003.,,"Ogre of Ardennes, Beast of Ardennes"
Sipho Agmatir Thwala,,South Africa,1996-1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders.",,The Phoenix Strangler
Saeed Hanaei,,Iran,2000-2001,16,19,"Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.",,
Jeffrey Dahmer,5/21/1960,United States,1978-1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.,"Cannibal, Rapist, Strangler, Necrophiliac","Milwaukee Cannibal, Milwaukee Murderer"
José Antonio Rodríguez Vega,12/3/1957,Spain,1987-1988,16,16,"He raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002.",Rapist,El Mataviejas (The Old Lady Killer)
Elias Xitavhudzi,,South Africa,1950s,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.",,Panga man
Jimmy Maketta,,South Africa,2005,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.,Rapist,
Jack Mogale,,South Africa,2008-2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.",Rapist,
Robert Lee Yates,5/27/1952,United States,1975-1998,16,16,"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.",,
Carroll Cole,5/9/1938,United States,1948-1980,16,16,"Killed 16 people in California, Nevada, Texas. Executed by lethal injection in 1985. Carroll Edward Cole had an IQ of 152. Cole completed 10 years of school, no degree received. Cole married 3 times, killed 2nd wife. He had no children.","Strangler, Necrophiliac",
Charles Ray Hatcher,7/16/1929,United States,1969-1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; committed suicide by hanging himself in prison in 1984.",Rapist,Crazy Charlie
Yuri Ivanov,,Soviet Union,1974-1987,16,16,Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.,Rapist,Ust-Kamenogorsk Maniac
Vladimir Mirgorod,11/1/1979,Russia,2003-2004,16,16,"Raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.","Rapist, Strangler",The Strangler
Lee Choon-jae,,South Korea,1986-1994,16,,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated.[108] A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law.",,
Dorángel Vargas,5/14/1956,Venezuela,1997-1999,15,,"Homeless cannibal that murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.",Cannibal,"The People Eater (El Comegente), The Hannibal Lecter of the Andes"
Ravinder Kumar,,India,2008-2015,15,30,Serial rapist who killed children of poor families.[111],Rapist,
Atlanta Ripper,,United States,1911,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.[112]",,
Robert Hansen,2/15/1939,United States,1980-1983,15,21,"Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.[113]",,
Ángel Maturino Reséndiz,8/1/1959,United States Mexico,1986-1999,15,18,"His killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.[114]","Strangler, Rapist",Railroad Killer
Chester Turner,11/5/1966,United States,1987-1998,15,15,"Convicted of killing 15 people in Los Angeles, California in the 1980s and 1990s. Sentenced to death.[115]","Serial Killer, Rapist, Strangler",Southside Slayer murders
Elifasi Msomi,,South Africa,1950s-1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.,,
Florencio Fernández,,Argentina,1950s,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest.",,
Bai Baoshan,,China,1983-1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.,,
Maurizio Minghella,7/16/1958,Italy,1978-2001,15,15,"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.",,
Alexander Labutkin,,Soviet Union,1933-1935,15,15,Killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.,,One-Armed Bandit
Charlie Brandt,2/23/1957,United States,1971-2004,4,29,"Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.",,
Robert Black,4/21/1947,"United Kingdom, Ireland (suspected), Germany (suspected), Netherlands (suspected), France (suspected)",1981-1986,4,18,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",,
Max Gufler,1/5/1918,Austria,1946-1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total.",,
Ernesto Picchioni,9/9/1967,Kingdom of Italy Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.,,
Baekuni,,Indonesia,1993-2010,4,14,"Pedophile who raped and killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.",Pedophile,
Igor Chernat,,Soviet Union,1985-1986,4,13,"Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.",Rapist,Evil Spirit of Kaukjarvi
Ricky Lee Green,12/27/1960,United States,1985-1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.,,
Robert Hicks Murray,,United Kingdom,1912 and earlier,4,11,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.,,
Dallen Bounds,8/9/1971,United States,1999,4,4,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.",Stalker,
Stephen John Port,2/22/1975,United Kingdom,2014-2015,4,4,"Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.",Rapist,The Grindr Killer
Robert Maudsley,6/26/1953,United Kingdom,1974-1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983. He was placed in a two-cell unit in the basement of Wakefield Prison noted for its resemblance to Hannibal Lecter's cell in the film The Silence of the Lambs, released in 1991. Maudsley's glass cage was built several years before the famous film was released.","Cannibal, Torturer, Strangler",Hannibal the Cannibal
Ted Kaczynski,5/22/1942,United States,1978-1996,3,3,"Domestic terrorist and serial bomber, Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled: Industrial Society and Its Future, as the work of Kaczynski. Currently imprisoned at ADX Florence.",Terrorist,Unabomber
Richard Kuklinski,4/11/1935,United States,1948-1986,3,175,Hitman for hire believed to have killed not only as a hitman but also on his own initiative.,,The Iceman
Robert Ben Rhoades,11/22/1945,United States,1989-1990,3,50,"He is suspected of the torture rape and the murder of more than fifty women between 1975 and 1990. He would target on hitchhikers and truck stop sex workers. He was known to take photos of some of his victims, he strangled at least one and shot at least one victim. In 1990, Rhodes was arrested in Arizona for the assault, rape and unlawful imprisonment of an intended victim, the victim survived. In 1992, Rhoades was convicted of first degree murder and sentenced to life without parole at the Menard Correctional Center in Chester, Illinois.",,The Truck Stop Killer
Peter Tobin,8/27/1946,United Kingdom,1991-2006,3,48,"Rapist, Strangler",Rapist,
Pedro Padilla Flores,,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.,,
Billy Glaze,7/13/1943,United States,1986-1987,3,20,Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.,Rapist,Butcher Knife Billy
Bertha Gifford,10/30/1871,United States,1909-1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.",,
Bernhard Prigan,,Allied-occupied Germany West Germany,1947-1952,3,16,Killed women near highways; confessed to a total of 16 murders.,,
Stephen Griffiths,12/24/1969,United Kingdom,2009-2010,3,14,"Known to have killed three prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.",Cannibal,The Crossbow Cannibal
Koos Hertogs,12/16/1949,Netherlands,1979-1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s.","Rapist, Torturer",
Chisako Kakehi,,Japan,2007-2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.",,
Dorothea Puente,1/9/1929,United States,1982-1988,3,17,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.,,Death House Landlady
Patrick Mackay,9/25/1952,United Kingdom,1973-1975,3,12,"Burglar suspect of 12 violent murders during robberies, charged with five and convicted of three. Bragged that he had killed 11 people. In prison for life.",,
Leonarda Cianciulli,4/18/1894,Italy,1939-1940,3,3,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes. Her son, Giuseppe, was drafted into the Italian Army, Cianciulli believed that the only way to protect him in battle was by human sacrifice . From 1939-1940 Cianciulli murdered 3 women in Correggio, Italy. Offering them a glass of drugged wine before killing them with an axe. She then cut up the corpses to make teacakes, which were often served to her family and friends.",Cannibal,The Soap-maker of Correggio
Luis Garavito,1/25/1957,"Colombia, Ecuador, Venezuela",1992-1999,138,236,"Child-murderer, torture-killer, and rapist. Confessed to killing 140 boys between eight and 16 years old over a seven-year period in Colombia and neighboring countries. He is suspected of murdering over 300 victims, mostly street children.","Necrophiliac, Torturer, Rapist, Pedophile","La Bestia, The Beast"
Pedro López,10/8/1948,Colombia Peru Ecuador,1969-1979,110,300,"Child-murderer and rapist. Targeted young girls, between the ages of eight and 12. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.","Rapist, Pedophile",The Monster of the Andes
Javed Iqbal,10/8/1956,Pakistan,1998-1999,100,100,"Child-murderer and rapist, Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in 1999 thanks to a letter he sent a newspaper, and was set to be executed in the manner described by the judge who stated, ""You will be strangled to death in front of the parents whose children you killed, Your body will then be cut into 100 pieces and put in acid, the same way you killed the children."" However, he died in custody before he could be executed.","Rapist, Pedophile, Strangler",Kukri
Mikhail Popkov,3/7/1964,Russia,1992-2010,78,81,"Serial rapist-killer who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018.",Rapist,The Werewolf
Daniel Camargo Barbosa,1/22/1930,Colombia Ecuador Brazil (alleged)[11],1974-1986,72,180,"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison and he started killing in Ecuador; rearrested in 1986, he was incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López. Camargo was killed in jail by the nephew of one of his victims.","Rapist, Pedophile, Strangler","The Sadist of Chanquito, Manuel Bulgarin Solis"
Pedro Rodrigues Filho,6/17/1954,Brazil,1967-2003,71,100,"He claimed to have killed over 100 victims, 47 of them inmates. He also killed his father and ate a piece of his heart. He killed his first two victims at the age of 14; he was first arrested in 1973. Convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years.","Cannibal, Torturer","Pedrinho Matador, Killer Petey"
Kampatimar Shankariya,,India,1977-1978,70,70,"This mysterious Indian serial killer used a hammer to kill over 70 men and women between 1978 and 1979, his last words were, ""I have murdered in vain,"" he declared. ""Nobody should become like me.""",,
Yang Xinhai,7/29/1968,China,2000-2003,67,67,"Would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. Executed by gunshot in 2004.",,Monster Killer
Andrei Chikatilo,10/16/1936,Soviet Union,1978-1990,53,56,Convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Executed by gunshot in 1994.,,"The Butcher of Rostov, The Red Ripper, The Rostov Ripper"
Anatoly Onoprienko,7/25/1959,Soviet Union Ukraine,1989-1996,52,52,"Convicted of the murders of nine people in 1989 and 43 people in 1995–1996. Traveled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. Sentenced to death, later commuted to imprisonment for life. Died from heart failure in 2013.",,
